src,dst,idx,date
29,39,0.0806451612903225,08/22/2021
29,40,0.032258064516129,08/22/2021
29,48,0.0161290322580645,08/22/2021
29,55,0.0161290322580645,08/22/2021
30,2,0.0188679245283018,08/22/2021
30,3,0.0113207547169811,08/22/2021
30,6,0.0188679245283018,08/22/2021
30,7,0.0377358490566037,08/22/2021
30,8,0.0226415094339622,08/22/2021
30,9,0.0150943396226415,08/22/2021
30,13,0.0150943396226415,08/22/2021
30,14,0.0113207547169811,08/22/2021
30,16,0.0490566037735849,08/22/2021
30,24,0.0264150943396226,08/22/2021
30,27,0.0113207547169811,08/22/2021
30,31,0.0113207547169811,08/22/2021
30,35,0.0150943396226415,08/22/2021
30,36,0.0792452830188679,08/22/2021
30,39,0.0113207547169811,08/22/2021
30,54,0.0113207547169811,08/22/2021
30,55,0.0226415094339622,08/22/2021
31,2,0.0439330543933054,08/22/2021
31,9,0.0104602510460251,08/22/2021
31,16,0.1820083682008368,08/22/2021
31,25,0.0209205020920502,08/22/2021
31,27,0.0167364016736401,08/22/2021
31,28,0.0104602510460251,08/22/2021
31,36,0.0230125523012552,08/22/2021
31,39,0.0209205020920502,08/22/2021
31,52,0.0983263598326359,08/22/2021
31,58,0.0125523012552301,08/22/2021
32,2,0.027027027027027,08/22/2021
32,16,0.1621621621621621,08/22/2021
32,20,0.081081081081081,08/22/2021
32,30,0.081081081081081,08/22/2021
32,35,0.027027027027027,08/22/2021
32,36,0.1351351351351351,08/22/2021
32,41,0.027027027027027,08/22/2021
32,55,0.027027027027027,08/22/2021
32,61,0.054054054054054,08/22/2021
33,8,0.0303030303030303,08/22/2021
33,13,0.0151515151515151,08/22/2021
33,14,0.0151515151515151,08/22/2021
33,16,0.0757575757575757,08/22/2021
33,24,0.0151515151515151,08/22/2021
33,27,0.0303030303030303,08/22/2021
33,29,0.0151515151515151,08/22/2021
33,30,0.0606060606060606,08/22/2021
33,34,0.0303030303030303,08/22/2021
33,36,0.1666666666666666,08/22/2021
33,38,0.0151515151515151,08/22/2021
33,39,0.0151515151515151,08/22/2021
33,52,0.0151515151515151,08/22/2021
33,55,0.0303030303030303,08/22/2021
34,7,0.0518518518518518,08/22/2021
34,8,0.037037037037037,08/22/2021
34,9,0.0148148148148148,08/22/2021
34,16,0.0296296296296296,08/22/2021
34,27,0.0518518518518518,08/22/2021
34,36,0.0296296296296296,08/22/2021
34,39,0.037037037037037,08/22/2021
34,40,0.0296296296296296,08/22/2021
34,42,0.0296296296296296,08/22/2021
34,63,0.0222222222222222,08/22/2021
35,16,0.1292682926829268,08/22/2021
35,25,0.1048780487804878,08/22/2021
35,27,0.0414634146341463,08/22/2021
35,43,0.0109756097560975,08/22/2021
35,51,0.0463414634146341,08/22/2021
35,52,0.0182926829268292,08/22/2021
36,7,0.0169491525423728,08/22/2021
36,8,0.0282485875706214,08/22/2021
36,10,0.0131826741996233,08/22/2021
36,16,0.0941619585687382,08/22/2021
36,20,0.0169491525423728,08/22/2021
36,24,0.0112994350282485,08/22/2021
36,27,0.0282485875706214,08/22/2021
36,30,0.0677966101694915,08/22/2021
36,33,0.0263653483992467,08/22/2021
36,34,0.0112994350282485,08/22/2021
36,35,0.0207156308851224,08/22/2021
36,41,0.0357815442561205,08/22/2021
36,55,0.0244821092278719,08/22/2021
37,16,0.1056338028169014,08/22/2021
37,25,0.0845070422535211,08/22/2021
37,27,0.0140845070422535,08/22/2021
37,28,0.0352112676056338,08/22/2021
37,35,0.0422535211267605,08/22/2021
37,43,0.0140845070422535,08/22/2021
37,44,0.028169014084507,08/22/2021
37,51,0.0140845070422535,08/22/2021
37,52,0.0633802816901408,08/22/2021
37,54,0.0422535211267605,08/22/2021
37,56,0.0140845070422535,08/22/2021
37,58,0.0140845070422535,08/22/2021
38,2,0.0329670329670329,08/22/2021
38,4,0.0219780219780219,08/22/2021
38,7,0.0109890109890109,08/22/2021
38,14,0.0109890109890109,08/22/2021
38,15,0.0109890109890109,08/22/2021
38,16,0.1758241758241758,08/22/2021
38,18,0.0219780219780219,08/22/2021
38,23,0.0219780219780219,08/22/2021
38,25,0.0109890109890109,08/22/2021
