nidx,fips,date,precipitation,wind_gust,elevation,population
12,25,09/25/2021,0.0,0.0,49,9494
12,25,09/26/2021,0.0,0.0,49,9494
12,25,09/27/2021,0.0,0.0,49,9494
13,27,08/22/2021,0.0,0.0,276,15670
13,27,08/23/2021,0.0,0.0,276,15670
13,27,08/24/2021,0.0,0.0,276,15670
13,27,08/25/2021,0.49,39.1,276,15670
13,27,08/26/2021,0.17,0.0,276,15670
13,27,08/27/2021,0.0,0.0,276,15670
13,27,08/28/2021,0.28,0.0,276,15670
13,27,08/29/2021,0.18,26.0,276,15670
13,27,08/30/2021,0.26,28.8,276,15670
13,27,08/31/2021,0.05,0.0,276,15670
13,27,09/01/2021,0.02,20.8,276,15670
13,27,09/02/2021,0.0,0.0,276,15670
13,27,09/03/2021,0.0,0.0,276,15670
13,27,09/04/2021,0.02,0.0,276,15670
13,27,09/05/2021,0.06,19.7,276,15670
13,27,09/06/2021,0.0,0.0,276,15670
13,27,09/07/2021,0.0,0.0,276,15670
13,27,09/08/2021,0.0,0.0,276,15670
13,27,09/09/2021,0.0,24.2,276,15670
13,27,09/10/2021,0.0,0.0,276,15670
13,27,09/11/2021,0.0,0.0,276,15670
13,27,09/12/2021,0.0,18.3,276,15670
13,27,09/13/2021,0.0,0.0,276,15670
13,27,09/14/2021,0.05,23.0,276,15670
13,27,09/15/2021,0.0,19.2,276,15670
13,27,09/16/2021,0.0,16.1,276,15670
13,27,09/17/2021,0.7,0.0,276,15670
13,27,09/18/2021,0.4,0.0,276,15670
13,27,09/19/2021,0.33,0.0,276,15670
13,27,09/20/2021,0.0,0.0,276,15670
13,27,09/21/2021,0.47,26.1,276,15670
13,27,09/22/2021,0.0,19.7,276,15670
13,27,09/23/2021,0.0,0.0,276,15670
13,27,09/24/2021,0.0,0.0,276,15670
13,27,09/25/2021,0.0,0.0,276,15670
13,27,09/26/2021,0.0,0.0,276,15670
13,27,09/27/2021,0.0,0.0,276,15670
14,29,08/22/2021,0.0,0.0,52,19259
14,29,08/23/2021,0.0,0.0,52,19259
14,29,08/24/2021,0.02,0.0,52,19259
14,29,08/25/2021,0.0,0.0,52,19259
14,29,08/26/2021,0.7,32.1,52,19259
14,29,08/27/2021,0.07,21.1,52,19259
14,29,08/28/2021,0.06,29.9,52,19259
14,29,08/29/2021,0.04,29.6,52,19259
14,29,08/30/2021,0.44,40.2,52,19259
14,29,08/31/2021,0.0,17.2,52,19259
14,29,09/01/2021,0.02,35.7,52,19259
14,29,09/02/2021,0.03,0.0,52,19259
14,29,09/03/2021,0.0,0.0,52,19259
14,29,09/04/2021,0.0,0.0,52,19259
